id,date,num_injured,description,location_id,accident_category_id,ride_id
1007658,2010-07-10,1,"Patron stated she slipped and fell while stepping into the boat, causing right hip and low back pain. Then made a late report stating torn meniscus in her knee.",0,0,0
1006901,2011-01-17,1,Ride operated normally. Patron complained of pain after riding.,1,1,1
1006927,2011-01-23,1,Patron stated that she consumed a cannabis brownie and felt faint and weak after riding. Normal ride operation,0,2,2
1006926,2011-01-29,1,Patron stated she tripped over another guest after disembarking and hit her shin on the train. Normal ride operation.,0,0,3
1008099,2011-02-06,1,Patron stated she has asthma and had difficulty breathing before riding. She said her illness was much worse while screaming on the coaster.,0,2,2
1006937,2011-02-12,1,"Patron stated he felt symptoms of seizure upon exiting the ride and said he has a history of epilepsy. Transported to the hospital as a precaution, treated and released.",2,3,4
1006936,2011-02-12,1,"While getting off the ride at the end, the patron leaned forward and struck her forehead on the restraint.",3,0,5
1006938,2011-02-24,1,"Patron's mother stated her child fell off the carousel ""goldfish"" while trying to climb onto it by herself while her mother strapped the baby on the ride.",0,0,6
1006940,2011-02-25,1,Patron stated she has a history of asthma and had an asthma attack while on the ride. Normal ride operation.,0,2,0
1006943,2011-02-26,1,Patron stated she has a history of motion sickness and became ill after riding twice. Normal ride operation.,0,2,2
1006944,2011-02-27,1,Ride operating normally. Patron became ill.,1,2,7
1006946,2011-03-02,1,Patron stated she experienced a headache after riding. Normal ride operation.,0,1,2
1006947,2011-03-04,1,Patron stated she felt dizzy after riding. Normal ride operation.,0,2,0
1006950,2011-03-10,1,Patron tripped and fell on the ride deck.,1,0,8
1007017,2011-03-13,1,"Patron, who is parapalegic, complained that his right leg struck the seat while riding. He refused treatment at the park, then visited a doctor on his own.",3,4,9
1006956,2011-03-17,1,"While on ride, patron struck face against fiance's head.",4,5,10
1006955,2011-03-19,1,"Patron, who has history of epilepsy, returned to the station in her carrier unresponsive after the ride. She was removed from the ride and transported to the hospital.",3,3,9
1006965,2011-03-24,1,Patron stated she fell stepping off a sea animal. The attraction was stopped at the time.,0,0,6
1006964,2011-04-01,1,Lap bar came down on her arm.,1,6,11
1006981,2011-04-02,1,"Patron placed her left hand on the rubber shoulder restraint stop while exiting the ride. Another patron pulled down the restraint, injuring the tip of her left middle finger.",5,6,12
1006967,2011-04-02,1,Ride operating normally. Harness pressing on chest.,1,7,13
1006968,2011-04-05,1,"Patron had his hand on the joystick of the fire truck before the ride was started. As the ride began, his dad started to pump the lever. The lever bumped the boy's arm and knocked him off-balance. He fell and hit his mouth on the floor of the truck.",6,8,14
1006989,2011-04-09,1,Patron emailed park stating that they sought medical treatment after riding the attraction several weeks before. Email states they have waist and hip pain. Ride was operating under normal parameters the date of the alleged incident.,2,1,15
1006974,2011-04-09,1,Patron stated he felt disoriented after riding. Normal ride operation.,0,2,16
1006979,2011-04-19,1,Patron stated he was stepping onto the exit and injured his right big toe.,0,0,0
1006977,2011-04-19,1,"Patron, holding a small child, was exiting the gondola at the #4 position she fell from top of the landing on to the deck (approximately 52 inches), landing on her back. Paramedics called, transported to hospital.",7,0,17
1006982,2011-04-25,1,Patron stated while standing in queue line for the attraction experienced upper abdominal pain. Went to first aid after riding.,0,1,3
1007271,2011-04-27,1,Patron stated his neck and back felt pain when the raft came to a sudden stop.,0,9,10
1006987,2011-04-28,1,Foreign body in eye during ride.,1,10,18
1006986,2011-04-29,1,"Patron returned to the station an informed the ride operators that on the way down, something hit his face and neck.",3,10,19
1006897,2011-04-29,1,Patron bumped his head during the ride.,8,4,20
1007036,2011-04-30,1,Patron stated he fell when his right foot slipped while stepping onto the seat to exit the ride.,0,0,0
1003331,2011-04-30,1,"Guest had arms up in air during the ride, and complained of left shoulder pain after completion.",9,1,18
1007046,2011-05-01,1,Patron stated that she had tightness and pinching in her right shoulder after riding at level 5,6,1,21
1007013,2011-05-01,1,Patron stated she had tightness in her right shoulder after riding the attraction on level 5.,6,1,21
1006988,2011-05-01,1,Patron returned to the station and informed the ride operators that she was struck by a loose object while riding.,3,10,22
1006992,2011-05-04,1,Patron exiting ride on own accord and walked to first aid station. She stated she felt a pain on her chest from the button and her bra being pushed into her chest while pressing against the lap bar.,2,7,4
1006896,2011-05-06,1,"Patron stated she couldn't wait for the queue line gate to open as she exited the ride, so she attempted to jump over the gate.",10,11,23
1007130,2011-05-07,1,"Patron claims to have struck the restraint bar while riding. She reported to first aid, but left without treatment. Late report of medical care.",3,4,5
1006994,2011-05-07,1,Patron stated he felt dizzy after riding and had increased blood pressure.,0,2,2
1006990,2011-05-07,1,Ride operating normally. Complained of neck pain after riding.,1,1,24
1006991,2011-05-11,1,Patron complained of nausea after riding.,3,2,25
1005144,2011-05-12,1,"Girl said she cut her head while riding in car 4. No sharp areas were found on the seat, but a section of padding that covers a metal bar appeared too high.",11,4,26
1006998,2011-05-14,1,Patron stated she felt the right side of her head hit the shoulder restraint as they went around a corner.,0,4,2
1006997,2011-05-14,1,Patron was walking toward exit and tripped on ride operator's foot; fell and hit forehead on the fence.,1,0,27
1006996,2011-05-15,1,Patron tripped while exiting ride and fell onto left knee.,1,0,7
1007007,2011-05-20,1,"Patron stated that while riding, she felt a pop in her neck. She left the ride and requested transport to the hospital.",3,1,9
1007008,2011-05-21,2,2 patrons (16 & 30yo) were injured when their boat was struck by another while the ride was being reset after a stop.,3,12,22
1003122,2011-05-22,1,Guest stated that the heel of her left foot was burned while riding Dantes. &nbsp;Area was cleasned:,12,13,28
1007016,2011-05-27,1,Possible seizure at end of the ride.,1,3,7
1006894,2011-05-29,1,"When the ride began to slow down, she hit and chipped her two front teeth on the safety bar. The accident was reported to security, but she refused medical treatment. Mother called several days later to say they would be going to the dentist.",13,4,29
1003056,2011-05-29,1,Mechanical failure had to evacuate child from ride.,14,14,30
1003124,2011-06-03,1,Patron fell from the ride. She was riding alone at the time of the incident. At this time there in no eye witness to say why she came out of the vehicle.,12,15,31
1007025,2011-06-07,1,"While spinning the wheel, patron's hand slipped off causing his head to jerk forward. He chipped his tooth on the wheel.",6,4,32
