id,city,state
0,Anaheim,CA
1,Buena Park,CA
2,Los Angeles,CA
3,Valencia,CA
4,San Diego,CA
5,Riverside,CA
6,Carlsbad,CA
7,Santa Monica,CA
8,Vallejo,CA
9,Jackson,NJ
10,Santa Clara,CA
11,Oklahoma City,OK
12,Wildwood,NJ
13,Santa Cruz,CA
14,Seaside Heights,NJ
15,East Jordan,MI
16,Egg Harbor Township,NJ
17,Bartlesville,OK
18,Pleasant Beach,NJ
19,Charlotte,NC
20,Glen,NH
21,Muskegan,MI
22,Ceredo,WV
23,Huntington,WV
24,Ocean City,MD
25,Wisconsin Dells,WI
26,KISSIMMEE,FL
27,Gilroy,CA
28,San Antonio,TX
29,Hershey,PA
30,Amarillo,TX
31,Dallas,TX
32,Salem,NH
33,Allentown,PA
34,West Mifflin,PA
35,Lancaster,PA
36,Clementon,NJ
37,Arlington,TX
38,Centre Hall,PA
39,Elysburg,PA
40,Tipton,PA
41,Ligonier,PA
42,Sandusky,OH
43,Altoona,PA
44,Cincinnati,OH
45,Scotch Plains,NJ
46,ORLANDO,FL
47,Ocean City,NJ
48,Altoona,IA
49,Langhorne,PA
50,Atlantic City,NJ
51,Utica,IL
52,Sacramento,CA
53,Mason,OH
54,Gurnee,IL
55,Elizabethtown,NC
56,Agawam,MA
57,East Dundee,IL
58,Bowling Green,KY
59,Hope,NJ
60,Green Bay,WI
61,Bowling Green KY,KY
62,Conneaut Lake,PA
63,Upper Marlboro,MD
64,Marshall,WI
65,Myrtle Beach,SC
66,PANAMA CITY,FL
67,Concord,CA
68,St. Louis,MO
69,New London,CT
70,Bristol,CT
