id,type,amusement_category_id
0,Boat ride,0
1,Coaster - steel,1
2,Shoot the chute,0
3,Carousel,2
4,Coaster - wooden,1
5,Track ride,3
6,Rafting ride,0
7,Flipping platform,2
8,Car ride,3
9,Simulator,4
10,Ferris/gondola wheel,2
11,Coaster - family/kiddie,1
12,Robotic ride,2
13,Flume ride,0
14,Sizzler/scrambler,2
15,Tilt-a-whirl/waltzer,2
16,Plane/jet/helicopter,2
17,Spinning cups/tubs,2
18,Swing ride,2
19,Spinning pendulum,5
20,Train/tram,3
21,Drop tower,6
22,Rotor/gravitron,2
23,Kamikaze/inverter-type,5
24,Trabant,2
25,Pirate ship,5
26,Orbiter/octopus-type,2
27,Enterprise,2
28,Himalaya-type,2
29,Bumper car,3
30,Roundabout,2
31,Spinning tower ride,2
32,Spinning track ride,2
33,Paratrooper-type,2
34,Tornado-type,2
35,Flying carpet ride,5
36,Whip,2
37,Roll-o-plane/booster/speed,2
38,Sky ride/ski lift,4
39,Hanglider ride,2
40,Giant swing,5
41,Bumper boat,0
42,Claw-type,2
43,Walk-through,4
44,Reverse bungee,5
45,gyro loop,5
46,Wheel w/spinning cars,2
47,Spinning ride - misc.,2
